Date,Country,Product,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage,AgeBand
20210718,S92000003,Covid-19 Vaccine AstraZeneca,4549217,Dose 1,332,"",2129734,"",16 years and over
20210718,S92000003,Covid-19 Vaccine AstraZeneca,4549217,Dose 2,7775,"",1933330,"",16 years and over
20210718,S92000003,Total,4549217,Dose 1,5841,"",3984802,"",16 years and over
20210718,S92000003,Total,4439078,Dose 1,5783,0.130274800307631,3973938,89.521697974219,18 years and over
20210718,S92000003,Total,2875396,Dose 1,423,0.0147110171955445,2812656,97.818039671753,40 years and over
20210718,S92000003,Total,4549217,Dose 2,12295,"",2982863,"",16 years and over
20210718,S92000003,Total,4439078,Dose 2,12256,0.276093368938325,2975865,67.0379074213159,18 years and over
20210718,S92000003,Total,2875396,Dose 2,8878,0.30875747201429,2589182,90.0461014761097,40 years and over
20210719,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 1,652,"",162345,"",16 years and over
20210719,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 2,1180,"",19092,"",16 years and over
20210719,S92000003,Covid-19 mRNA Vaccine Pfizer,4549217,Dose 1,1547,"",1694922,"",16 years and over
20210719,S92000003,Covid-19 mRNA Vaccine Pfizer,4549217,Dose 2,7011,"",1038632,"",16 years and over
20210719,S92000003,Covid-19 Vaccine AstraZeneca,4549217,Dose 1,317,"",2130051,"",16 years and over
20210719,S92000003,Covid-19 Vaccine AstraZeneca,4549217,Dose 2,8576,"",1941906,"",16 years and over
20210719,S92000003,Total,4549217,Dose 1,2516,"",3987318,"",16 years and over
20210719,S92000003,Total,4439078,Dose 1,2458,0.0553718587508487,3976396,89.5770698329698,18 years and over
20210719,S92000003,Total,2875396,Dose 1,485,0.0168672419381539,2813141,97.8349069136912,40 years and over
20210719,S92000003,Total,4549217,Dose 2,16767,"",2999630,"",16 years and over
20210719,S92000003,Total,4439078,Dose 2,16596,0.373861418970336,2992461,67.4117688402862,18 years and over
20210719,S92000003,Total,2875396,Dose 2,10090,0.35090818795046,2599272,90.3970096640602,40 years and over
20210720,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 1,921,"",163266,"",16 years and over
20210720,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 2,1083,"",20175,"",16 years and over
20210720,S92000003,Covid-19 mRNA Vaccine Pfizer,4549217,Dose 1,1334,"",1696256,"",16 years and over
20210720,S92000003,Covid-19 mRNA Vaccine Pfizer,4549217,Dose 2,7157,"",1045789,"",16 years and over
20210720,S92000003,Covid-19 Vaccine AstraZeneca,4549217,Dose 1,265,"",2130316,"",16 years and over
20210720,S92000003,Covid-19 Vaccine AstraZeneca,4549217,Dose 2,7444,"",1949350,"",16 years and over
20210720,S92000003,Total,4549217,Dose 1,2520,"",3989838,"",16 years and over
20210720,S92000003,Total,4439078,Dose 1,2451,0.0552141683475713,3978847,89.6322840013174,18 years and over
20210720,S92000003,Total,2875396,Dose 1,465,0.0161716855695702,2813606,97.8510785992608,40 years and over
20210720,S92000003,Total,4549217,Dose 2,15684,"",3015314,"",16 years and over
20210720,S92000003,Total,4439078,Dose 2,15615,0.351762235311026,3008076,67.7635310755972,18 years and over
20210720,S92000003,Total,2875396,Dose 2,8650,0.300828129412436,2607922,90.6978377934726,40 years and over
